SERVICE_JOB_ID,FILE_NAME,example,PRODUCT_LINE,MODEL_NUMBER,SERIAL_NUMBER
SJ48132474,image-pre-inspection-proof-of-purchase-72fddeed-f657-4bdf-bf35-ed3e2b5188d0_a1ef939b-62b1-4df2-8c56-3d2935dfb986.png,data/Laundry/SJ48132474/image-pre-inspection-proof-of-purchase-72fddeed-f657-4bdf-bf35-ed3e2b5188d0_a1ef939b-62b1-4df2-8c56-3d2935dfb986.png,HOME LAUNDRY GAS,DVG54R7600C/A3,0B1T5BCNC00144M
SJ48132474,image-pre-inspection-proof-of-purchase-bcd8901b-0cfd-4f1f-8160-9b22a118f1c2_a1ef939b-62b1-4df2-8c56-3d2935dfb986.png,data/Laundry/SJ48132474/image-pre-inspection-proof-of-purchase-bcd8901b-0cfd-4f1f-8160-9b22a118f1c2_a1ef939b-62b1-4df2-8c56-3d2935dfb986.png,HOME LAUNDRY GAS,DVG54R7600C/A3,0B1T5BCNC00144M
SJ48132474,image-pre-inspection-serial-number-a2dc2e0b-7a3c-4f83-b7da-8e7b8afc4547_a1ef939b-62b1-4df2-8c56-3d2935dfb986.png,data/Laundry/SJ48132474/image-pre-inspection-serial-number-a2dc2e0b-7a3c-4f83-b7da-8e7b8afc4547_a1ef939b-62b1-4df2-8c56-3d2935dfb986.png,HOME LAUNDRY GAS,DVG54R7600C/A3,0B1T5BCNC00144M
SJ48132474,image-pre-inspection-serial-number-d843dfb6-fbf2-4618-94c7-b3145f4adfe0_a1ef939b-62b1-4df2-8c56-3d2935dfb986.png,data/Laundry/SJ48132474/image-pre-inspection-serial-number-d843dfb6-fbf2-4618-94c7-b3145f4adfe0_a1ef939b-62b1-4df2-8c56-3d2935dfb986.png,HOME LAUNDRY GAS,DVG54R7600C/A3,0B1T5BCNC00144M
SJ48144276,image-pre-inspection-proof-of-purchase-8e827200-cf7f-454e-a2d7-c25faade704b_9c63548a-da56-498e-b807-e1b559c7fada.png,data/Laundry/SJ48144276/image-pre-inspection-proof-of-purchase-8e827200-cf7f-454e-a2d7-c25faade704b_9c63548a-da56-498e-b807-e1b559c7fada.png,HOME LAUNDRY GAS,GTD42GASJ2WW,GTD42GASJ2WW
SJ48144276,image-pre-inspection-serial-number-4714c33a-4eb9-4d09-b858-f98b058970b8_9c63548a-da56-498e-b807-e1b559c7fada.png,data/Laundry/SJ48144276/image-pre-inspection-serial-number-4714c33a-4eb9-4d09-b858-f98b058970b8_9c63548a-da56-498e-b807-e1b559c7fada.png,HOME LAUNDRY GAS,GTD42GASJ2WW,GTD42GASJ2WW
SJ48148704,image-pre-inspection-proof-of-purchase-b32740b1-f22d-4593-a37c-0c4379fe7ce9_558cb28b-117c-4aa6-b29a-1cb71c2f136a.png,data/Laundry/SJ48148704/image-pre-inspection-proof-of-purchase-b32740b1-f22d-4593-a37c-0c4379fe7ce9_558cb28b-117c-4aa6-b29a-1cb71c2f136a.png,HOME LAUNDRY GAS,GTX22GASK0WW,ZR87551BC
SJ48148704,image-pre-inspection-serial-number-e3ed3593-267e-48b3-bacc-3fdcd2d172fc_558cb28b-117c-4aa6-b29a-1cb71c2f136a.png,data/Laundry/SJ48148704/image-pre-inspection-serial-number-e3ed3593-267e-48b3-bacc-3fdcd2d172fc_558cb28b-117c-4aa6-b29a-1cb71c2f136a.png,HOME LAUNDRY GAS,GTX22GASK0WW,ZR87551BC
SJ48155130,image-pre-inspection-proof-of-purchase-bd23ce7a-219e-45ad-964e-b3b4908af76a_d0448b65-9f97-4e05-a164-b40fbad8b338.png,data/Laundry/SJ48155130/image-pre-inspection-proof-of-purchase-bd23ce7a-219e-45ad-964e-b3b4908af76a_d0448b65-9f97-4e05-a164-b40fbad8b338.png,HOME LAUNDRY GAS,GTD33GASK0WW,LS814145C
SJ48155130,image-pre-inspection-serial-number-28d4d212-4245-4f61-9a62-a893b6b30ad8_d0448b65-9f97-4e05-a164-b40fbad8b338.png,data/Laundry/SJ48155130/image-pre-inspection-serial-number-28d4d212-4245-4f61-9a62-a893b6b30ad8_d0448b65-9f97-4e05-a164-b40fbad8b338.png,HOME LAUNDRY GAS,GTD33GASK0WW,LS814145C
SJ48165170,image-pre-inspection-photo-3cdfaeaf-fd4b-485e-9353-3746cd6a6211_72a63c41-7e51-423a-9a4f-d8115af63e50.png,data/Laundry/SJ48165170/image-pre-inspection-photo-3cdfaeaf-fd4b-485e-9353-3746cd6a6211_72a63c41-7e51-423a-9a4f-d8115af63e50.png,HOME LAUNDRY GAS,00000000,00000000000
SJ48173268,image-pre-inspection-proof-of-purchase-40a4c08b-7a23-42fc-bda2-1fa049ae1174_cb524b4f-c902-467c-8a57-6f543e89473d.png,data/Laundry/SJ48173268/image-pre-inspection-proof-of-purchase-40a4c08b-7a23-42fc-bda2-1fa049ae1174_cb524b4f-c902-467c-8a57-6f543e89473d.png,HOME LAUNDRY GAS,EFMG527UIW1,4D12607202
